date,temperature,humidity,pressure,wind_speed,precipitation,weather_condition,city
2023-06-01,22.5,65,1013.2,8.5,0.0,Sunny,New York
2023-06-02,24.1,58,1015.1,12.3,0.0,Partly Cloudy,New York
2023-06-03,19.8,72,1009.8,15.7,2.5,Light Rain,New York
2023-06-04,18.2,80,1007.5,20.1,8.3,Heavy Rain,New York
2023-06-05,21.3,68,1011.9,9.2,0.0,Cloudy,New York
2023-06-06,25.7,55,1016.3,6.8,0.0,Sunny,New York
2023-06-07,27.2,52,1018.1,4.5,0.0,Sunny,New York
2023-06-08,23.6,61,1014.7,11.2,0.0,Partly Cloudy,New York
2023-06-09,20.4,75,1010.2,18.3,1.2,Light Rain,New York
2023-06-10,26.1,49,1017.6,7.1,0.0,Sunny,New York
2023-06-01,28.3,45,1012.8,10.2,0.0,Sunny,Los Angeles
2023-06-02,29.7,42,1014.2,8.7,0.0,Sunny,Los Angeles
2023-06-03,26.9,51,1011.5,13.4,0.0,Partly Cloudy,Los Angeles
2023-06-04,24.1,58,1009.1,16.8,0.5,Cloudy,Los Angeles
2023-06-05,27.8,48,1013.7,9.5,0.0,Sunny,Los Angeles
2023-06-06,31.2,38,1015.9,6.2,0.0,Sunny,Los Angeles
2023-06-07,32.5,35,1017.3,5.1,0.0,Sunny,Los Angeles
2023-06-08,29.4,43,1014.8,11.7,0.0,Partly Cloudy,Los Angeles
2023-06-09,27.1,52,1012.4,14.2,0.0,Cloudy,Los Angeles
2023-06-10,30.6,40,1016.1,8.9,0.0,Sunny,Los Angeles
2023-06-01,15.2,78,1008.5,22.1,5.2,Heavy Rain,Seattle
2023-06-02,17.8,70,1010.9,18.5,1.8,Light Rain,Seattle
2023-06-03,19.4,65,1012.3,14.7,0.0,Cloudy,Seattle
2023-06-04,21.6,60,1014.1,11.2,0.0,Partly Cloudy,Seattle
2023-06-05,18.9,72,1009.7,19.8,3.1,Light Rain,Seattle
2023-06-06,16.3,82,1007.2,25.4,12.7,Heavy Rain,Seattle
2023-06-07,20.1,68,1011.6,13.9,0.0,Cloudy,Seattle
2023-06-08,22.7,58,1015.2,9.3,0.0,Partly Cloudy,Seattle
2023-06-09,19.5,71,1010.8,16.5,2.3,Light Rain,Seattle
2023-06-10,23.1,55,1016.7,7.8,0.0,Sunny,Seattle
2023-06-01,,68,1013.4,12.5,0.0,Partly Cloudy,Chicago
2023-06-02,26.8,61,1015.7,8.9,0.0,Sunny,Chicago
2023-06-03,21.4,,1009.2,17.2,4.1,Heavy Rain,Chicago
2023-06-04,19.7,79,1008.1,,9.8,Heavy Rain,Chicago
2023-06-05,23.5,64,1012.5,10.7,,Cloudy,Chicago
2023-06-06,27.9,54,1016.8,6.3,0.0,,Chicago
2023-06-07,,59,1014.3,13.1,0.0,Partly Cloudy,Chicago
2023-06-08,25.2,56,1017.1,7.4,0.0,Sunny,Chicago
2023-06-09,22.1,70,1011.9,15.8,1.7,Light Rain,Chicago
2023-06-10,28.4,50,1018.5,5.9,0.0,Sunny,Chicago
